ID,Cohort,Program,College,major_2,concentration_1,hrs_enrolled,gender,state,ipeds_ethnicity,resid_commuter_sts,sport_1,sport_1_b,sport_2,sport_2_b,first_gen,hs_gpa,pell_eligible,ret_label,ret_label_b
364,87,50,2,0,0,12,1,14,6,2,25,0,5,0,0,3.88,0,0,0
365,87,16,3,0,0,16,0,14,6,2,2,1,5,0,0,3.88,0,3,1
374,79,49,2,0,1,13,1,14,6,2,24,1,5,0,0,3.95,0,3,1
375,79,0,3,0,0,15,0,14,6,2,7,1,5,0,0,3.35,0,3,1
376,79,33,2,0,1,13,1,14,6,2,25,0,5,0,0,3.99,0,3,1
377,79,16,3,0,1,16,1,14,6,2,24,1,5,0,0,4,0,3,1
382,87,24,2,0,0,16,1,14,6,2,25,0,5,0,0,3.35,0,0,0
383,87,43,1,0,0,16,0,14,6,2,25,0,5,0,0,3.28,0,0,0
384,87,59,0,0,0,15,0,14,6,2,2,1,5,0,0,3.28,0,3,1
385,87,0,3,0,0,15,0,14,6,2,2,1,5,0,0,3.35,1,3,1
397,87,57,3,0,0,15,0,2,1,2,5,1,5,0,1,3.35,1,0,0
398,87,0,3,0,0,15,0,2,1,2,5,1,5,0,1,2.69,0,0,0
399,87,49,2,0,0,15,1,12,6,2,25,0,5,0,0,3.5,0,3,1
401,87,49,2,0,0,16,1,12,2,2,25,0,5,0,0,3,0,3,1
402,87,52,1,0,0,16,1,12,6,2,25,0,5,0,1,2.5,0,3,1
407,79,44,2,0,0,12,1,14,6,2,25,0,5,0,1,4,1,3,1
408,79,50,2,0,0,15,0,14,6,2,5,1,5,0,0,3.65,0,3,1
413,87,4,1,0,0,15,0,12,6,2,5,1,5,0,0,3.5,0,0,0
414,79,33,2,0,0,13,1,12,6,2,16,1,5,0,0,3.91,0,3,1
415,79,57,3,0,0,13,1,12,1,2,25,0,5,0,1,0,1,3,1
418,87,0,3,0,0,15,1,12,6,2,24,1,5,0,0,3.35,0,3,1
423,79,31,2,0,0,15,0,11,3,2,25,0,5,0,0,2.42,0,0,0
424,79,59,0,0,0,12,0,11,6,2,25,0,5,0,1,2.84,1,0,0
425,79,31,2,0,0,16,0,11,2,2,25,0,5,0,1,3.57,0,0,0
426,79,57,3,0,0,16,0,11,2,2,25,0,5,0,1,2.93,1,0,0
427,87,18,3,0,0,15,0,11,6,2,7,1,5,0,0,3.25,0,3,1
431,87,50,2,0,0,15,0,17,2,2,25,0,5,0,1,3.34,1,0,0
432,79,57,3,0,0,15,1,1,6,2,25,0,5,0,1,3.28,0,0,0
433,79,16,3,0,0,15,0,1,6,2,9,1,5,0,0,4,0,3,1
434,79,54,1,0,0,16,1,1,6,2,25,0,5,0,0,3.95,1,3,1
435,79,15,3,0,0,15,0,1,6,2,25,0,5,0,1,3.23,0,0,0
441,87,32,2,0,0,13,0,14,6,2,5,1,5,0,0,4,0,3,1
445,79,4,1,0,0,14,1,12,6,2,25,0,5,0,1,3.15,1,3,1
448,87,44,2,0,0,15,0,16,2,2,3,1,5,0,0,3.48,0,0,0
449,87,4,1,0,0,15,0,11,6,2,11,1,5,0,0,3,0,3,1
450,79,40,1,0,0,18,0,11,6,2,2,1,5,0,0,2.81,0,3,1
452,79,24,2,0,0,14,1,11,6,2,25,0,5,0,0,3.7,0,3,1
462,79,24,2,0,0,14,1,7,6,2,25,0,5,0,0,3.9,0,3,1
465,79,57,3,0,0,16,0,8,6,2,7,1,5,0,1,3,0,3,1
469,79,52,1,0,0,15,0,16,1,2,3,1,5,0,0,2.5,1,3,1
472,79,29,1,0,1,16,1,1,6,2,19,1,5,0,0,3.98,0,3,1
475,79,33,2,0,1,16,1,1,6,2,25,0,5,0,0,3.83,0,3,1
480,79,49,2,0,0,16,1,4,6,2,18,1,5,0,1,3.27,0,3,1
481,79,16,3,0,1,16,0,4,6,2,12,1,5,0,0,3.88,1,0,0
483,87,8,3,0,0,15,0,10,6,2,2,1,5,0,0,3.5,0,3,1
